Plek,Wijk,Postcode,Plaatsnaam,Prijs,Oppervlakte,Kamers,Interieur,Link,AangebodenSinds,Beschikbaarheid,Woningtype,Bouwjaar,Parkeren,Updated,Status
Nassaustraat,Nassaubuurt,5046 NS,Tilburg,1180,59,3.0,Gestoffeerd,https://www.huurwoningen.nl/huren/tilburg/1079572/nassaustraat/,3 weken,Per 30-12-2022,Appartement,1957.0,Nee,2022-11-20,Active
Godijn van Dormaalstraat,Het Lage Land,3067 JJ,Rotterdam,1300,90,3.0,Kaal,https://www.huurwoningen.nl/huren/rotterdam/1323697/godijn-van-dormaalstraat/,09-11-2022,Per 15-12-2022,Appartement,1966.0,Nee,2022-11-20,Active
Langstraat,Centrum,5801 AA,Venray,591,23,1.0,,https://www.huurwoningen.nl/huren/venray/1325936/langstraat/,19-11-2022,Per 01-01-2023,Appartement,1950.0,Nee,2022-11-20,Active
Pascalerf,Besterd,5014 EW,Tilburg,757,65,1.0,Gestoffeerd,https://www.huurwoningen.nl/huren/tilburg/1325935/pascalerf/,19-11-2022,Per 01-01-2023,Appartement,,Nee,2022-11-20,Active
Bosschestraat,Haag Belgisch Park,2587 HC,Den Haag,1500,105,4.0,,https://www.huurwoningen.nl/huren/den-haag/1325934/bosschestraat/,19-11-2022,Per direct,Appartement,,Nee,2022-11-20,Active
Annastraat,Geleen-Centrum,6161 GZ,Geleen,835,60,3.0,Gestoffeerd,https://www.huurwoningen.nl/huren/geleen/1325933/annastraat/,19-11-2022,Per 01-12-2022,Appartement,,Nee,2022-11-20,Active
Gubbelstraat,Boschstraatkwartier,6211 CE,Maastricht,1795,96,3.0,Gemeubileerd,https://www.huurwoningen.nl/huren/maastricht/1325932/gubbelstraat/,19-11-2022,Per 01-01-2023,Appartement,,Nee,2022-11-20,Active
Rijksweg,Gronsveld,6247 AC,Gronsveld,1250,188,4.0,Gestoffeerd,https://www.huurwoningen.nl/huren/gronsveld/1325929/rijksweg/,19-11-2022,Per 01-12-2022,Huis,,Nee,2022-11-20,Active
Spoorstraat,Winkelcentrum,5911 KJ,Venlo,750,40,2.0,,https://www.huurwoningen.nl/huren/venlo/1325928/spoorstraat/,19-11-2022,Per direct,Appartement,1962.0,Nee,2022-11-20,Active
Wycker Grachtstraat,Wyck,6221 CW,Maastricht,438,22,1.0,Gestoffeerd,https://www.huurwoningen.nl/huren/maastricht/1325927/wycker-grachtstraat/,19-11-2022,Per 01-01-2023,Kamer,,Ja,2022-11-20,Active
Kommel,Kommelkwartier,6211 NX,Maastricht,321,13,1.0,Gestoffeerd,https://www.huurwoningen.nl/huren/maastricht/1325926/kommel/,19-11-2022,Per 01-01-2023,Kamer,,Ja,2022-11-20,Active
Surinameplein,Hoofddorppleinbuurt,1058 GH,Amsterdam,2200,80,4.0,Gemeubileerd,https://www.huurwoningen.nl/huren/amsterdam/1325925/surinameplein/,19-11-2022,Per 02-01-2023,Appartement,1989.0,Ja,2022-11-20,Active
Orangerie,Nijrees,7609 ZH,Almelo,1350,97,4.0,Gestoffeerd,https://www.huurwoningen.nl/huren/almelo/1325924/orangerie/,19-11-2022,Per 01-12-2022,Huis,2004.0,Nee,2022-11-20,Active
Julianaplantsoen,Ruimzicht Oost,1111 XJ,Diemen,1925,67,4.0,,https://www.huurwoningen.nl/huren/diemen/1325923/julianaplantsoen/,18-11-2022,Per direct,Appartement,1961.0,Nee,2022-11-20,Active
Akkerstraat,Sint Anna Noord,5025 MK,Tilburg,873,26,1.0,Gestoffeerd,https://www.huurwoningen.nl/huren/tilburg/1325922/akkerstraat/,18-11-2022,Per 01-12-2022,Studio,,Nee,2022-11-20,Active
Akkerstraat,Sint Anna Noord,5025 MK,Tilburg,1600,60,2.0,Gestoffeerd,https://www.huurwoningen.nl/huren/tilburg/1325921/akkerstraat/,18-11-2022,Per 01-12-2022,Appartement,,Ja,2022-11-20,Active
Lovensestraat,Loven Zuid,5014 DN,Tilburg,575,15,1.0,Gestoffeerd,https://www.huurwoningen.nl/huren/tilburg/1325920/lovensestraat/,18-11-2022,Per 06-01-2023,Kamer,,Ja,2022-11-20,Active
Akkerstraat,Sint Anna Noord,5025 MK,Tilburg,895,27,1.0,Gestoffeerd,https://www.huurwoningen.nl/huren/tilburg/1325919/akkerstraat/,18-11-2022,Per 01-12-2022,Studio,,Ja,2022-11-20,Active
Akkerstraat,Sint Anna Noord,5025 MK,Tilburg,873,26,1.0,Gestoffeerd,https://www.huurwoningen.nl/huren/tilburg/1325918/akkerstraat/,18-11-2022,Per 01-12-2022,Studio,,Nee,2022-11-20,Active
Lovensestraat,Loven Zuid,5014 DN,Tilburg,625,13,1.0,Gestoffeerd,https://www.huurwoningen.nl/huren/tilburg/1325917/lovensestraat/,18-11-2022,Per 06-01-2023,Kamer,,Ja,2022-11-20,Active
Lovensestraat,Loven Zuid,5014 DN,Tilburg,725,27,1.0,Gestoffeerd,https://www.huurwoningen.nl/huren/tilburg/1325916/lovensestraat/,18-11-2022,Per 06-01-2023,Kamer,,Ja,2022-11-20,Active
Lovensestraat,Loven Zuid,5014 DN,Tilburg,575,15,1.0,Gestoffeerd,https://www.huurwoningen.nl/huren/tilburg/1325915/lovensestraat/,18-11-2022,Per 06-01-2023,Kamer,,Ja,2022-11-20,Active
Lovensestraat,Loven Zuid,5014 DN,Tilburg,545,11,1.0,Gestoffeerd,https://www.huurwoningen.nl/huren/tilburg/1325914/lovensestraat/,18-11-2022,Per 06-01-2023,Kamer,,Ja,2022-11-20,Active
